Epoch,Disc_acc,GenDisc_acc,GenClass_acc,mean_RTS_sim,mean_STS_sim
103,1.0,0.0,0.0,-0.8496736,0.99686897
104,1.0,0.0,0.0,-0.84954625,0.9905467
105,1.0,0.0,0.0,-0.851509,0.9962368
106,1.0,0.0,0.0,-0.85037124,0.99621713
107,1.0,0.0,0.0,-0.85016304,0.99669725
108,1.0,0.0,0.0,-0.8511793,0.9947279
109,1.0,0.0,0.0,-0.8512036,0.9949665
110,1.0,0.0,0.0,-0.8506179,0.98885334
111,1.0,0.0,0.0,-0.851634,0.9956201
112,1.0,0.0,0.0,-0.852015,0.9975909
113,1.0,0.0,0.0,-0.85004926,0.995393
114,1.0,0.0,0.0,-0.85208744,0.9925655
115,1.0,0.0,0.0,-0.85129213,0.99110156
116,1.0,0.0,0.0,-0.85216033,0.9977558
117,1.0,0.0,0.0,-0.85112166,0.9943732
118,1.0,0.0,0.0,-0.8532363,0.99636155
119,1.0,0.0,0.0,-0.8530288,0.99477327
120,1.0,0.0,0.0,-0.8544093,0.99190915
121,1.0,0.0,0.0,-0.85529804,0.99552983
122,1.0,0.0,0.0,-0.85662,0.9900631
123,1.0,0.0,0.0,-0.8574002,0.99273854
124,1.0,0.0,0.0,-0.85934496,0.98733455
125,1.0,0.0,0.0,-0.85955745,0.9954646
126,1.0,0.0,0.0,-0.8605238,0.9968155
127,1.0,0.0,0.0,-0.86075515,0.9927805
128,1.0,0.0,0.0,-0.860622,0.9887083
129,1.0,0.0,0.0,-0.8616638,0.97826564
130,1.0,0.0,0.0,-0.86102945,0.99602747
131,1.0,0.0,0.0,-0.8620906,0.99540883
132,1.0,0.0,0.0,-0.8609978,0.9943798
133,1.0,0.0,0.0,-0.861012,0.9950868
134,1.0,0.0,0.0,-0.86291575,0.99571836
135,1.0,0.0,0.0,-0.86314946,0.9975049
136,1.0,0.0,0.0,-0.8622816,0.9951261
137,1.0,0.0,0.0,-0.86303097,0.99542034
138,1.0,0.0,0.0,-0.8626066,0.9965088
139,1.0,0.0,0.0,-0.8621979,0.9907414
140,1.0,0.0,0.0,-0.8618412,0.9950897
141,1.0,0.0,0.0,-0.86090493,0.9964355
142,1.0,0.0,0.0,-0.85846364,0.9881188
143,1.0,0.0,0.0,-0.8565057,0.9897572
144,1.0,0.0,0.0,-0.85520667,0.99659604
145,1.0,0.0,0.0,-0.8538541,0.95092666
146,1.0,0.0,0.0,-0.85307884,0.9962677
147,1.0,0.0,0.0,-0.852901,0.99266636
148,1.0,0.0,0.0,-0.850483,0.99318326
149,1.0,0.0,0.0,-0.85178506,0.99461114
150,1.0,0.0,0.0,-0.8513971,0.9957429
151,1.0,0.0,0.0,-0.8526151,0.9716771
152,1.0,0.0,0.0,-0.8525767,0.99500024
153,1.0,0.0,0.0,-0.8527843,0.9928629
154,1.0,0.0,0.0,-0.8520188,0.9959944
155,1.0,0.0,0.0,-0.8517059,0.9898351
156,1.0,0.0,0.0,-0.85187984,0.99736786
157,1.0,0.0,0.0,-0.85274255,0.99186516
158,1.0,0.0,0.0,-0.85186404,0.9973189
159,1.0,0.0,0.0,-0.8528229,0.99521416
160,1.0,0.0,0.0,-0.8527024,0.9958724
161,1.0,0.0,0.0,-0.8523198,0.99726313
162,1.0,0.0,0.0,-0.8532644,0.99734914
163,1.0,0.0,0.0,-0.85303605,0.99664086
164,1.0,0.0,0.0,-0.85213983,0.99724674
165,1.0,0.0,0.0,-0.8551135,0.993184
166,1.0,0.0,0.0,-0.8558081,0.99612844
167,1.0,0.0,0.0,-0.85727245,0.99504566
168,1.0,0.0,0.0,-0.85652107,0.9905184
169,1.0,0.0,0.0,-0.8588137,0.99707335
170,1.0,0.0,0.0,-0.85919493,0.99379045
171,1.0,0.0,0.0,-0.85797364,0.99445236
172,1.0,0.0,0.0,-0.85920566,0.9962694
